,Split1,Split2,Split3,Split4,Split5
0,0.262813453,0.002672081,0.001660418,0.001264343,0.00112448
1,0.254664158,0.002655247,0.001657457,0.001278565,0.000948573
2,0.245760335,0.002643126,0.001677027,0.001267167,0.000791246
3,0.235955665,0.002624812,0.001688861,0.001314996,0.000808288
4,0.22514803,0.002612725,0.00168011,0.001370321,0.000811749
5,0.213323161,0.002597879,0.001666716,0.001429491,0.000804786
6,0.200541679,0.002584362,0.001659291,0.001492561,0.000797826
7,0.186996274,0.002572353,0.001651191,0.001553514,0.000793761
8,0.172978449,0.002560725,0.001643853,0.00161189,0.000788714
9,0.158941714,0.002548978,0.001637306,0.001666658,0.000784505
10,0.145404586,0.00253782,0.001633186,0.001714279,0.000777681
11,0.133030714,0.002526135,0.001625286,0.001739373,0.000776749
12,0.122382387,0.002514876,0.001620336,0.00176479,0.000769164
13,0.114402133,0.002503559,0.00161723,0.001739802,0.000767702
14,0.1073084,0.002493859,0.001609374,0.001730395,0.000761365
15,0.102718943,0.002482673,0.001602674,0.001692773,0.000761996
16,0.099533047,0.002472312,0.001600708,0.001661481,0.000754804
17,0.097333535,0.002461213,0.001592778,0.001611139,0.000753969
18,0.095927511,0.00245075,0.001586319,0.001558197,0.000747742
19,0.094647586,0.002439292,0.001580635,0.001525278,0.000744895
20,0.093473341,0.002428049,0.001577228,0.001475535,0.000740862
21,0.092352834,0.002418433,0.001571347,0.001450947,0.000736468
22,0.091138256,0.002408715,0.001564418,0.001421345,0.000730125
23,0.089231046,0.002398013,0.001559115,0.001401993,0.000728689
24,0.087920976,0.002390604,0.00155349,0.001382862,0.000722881
25,0.085937328,0.00238066,0.001547469,0.001363186,0.000720391
26,0.083876204,0.002371226,0.001540813,0.001349599,0.000714684
27,0.081679685,0.002363203,0.001536862,0.00134712,0.0007125
28,0.079378655,0.002354147,0.001530127,0.001339256,0.000706935
29,0.077182112,0.002344187,0.001523388,0.001321336,0.000703763
30,0.074623154,0.002336757,0.001519983,0.00132114,0.000698731
31,0.071896585,0.00232735,0.001511927,0.001314167,0.000696914
32,0.068762649,0.002318017,0.001504434,0.001302492,0.000691725
33,0.065792738,0.002309601,0.001501327,0.001297529,0.000689749
34,0.062307507,0.002301464,0.001494536,0.001292632,0.000684972
35,0.058754526,0.002292329,0.001491193,0.001286482,0.00068393
36,0.054626331,0.002283846,0.001481308,0.001285796,0.000679462
37,0.050453257,0.002275952,0.001481163,0.001273711,0.000677141
38,0.045725984,0.00226739,0.001471387,0.001268787,0.000673101
39,0.040931887,0.00225982,0.00146439,0.001266888,0.000672527
40,0.035311891,0.002250657,0.00146091,0.001253558,0.000668684
41,0.030504222,0.002243338,0.001455537,0.001255932,0.000667585
42,0.024746082,0.002235177,0.001451544,0.001246107,0.00066403
43,0.019867107,0.002227568,0.001442906,0.001244653,0.000661507
44,0.015006554,0.002220128,0.00144174,0.001232842,0.000658854
45,0.011298826,0.002212047,0.001431258,0.0012353,0.000657502
46,0.008318708,0.002204802,0.001428912,0.001229499,0.000655696
47,0.006290434,0.002196978,0.001420758,0.001221781,0.000654522
48,0.005037605,0.002189168,0.00141509,0.001218015,0.000652694
49,0.00434827,0.002182425,0.001410976,0.0012137,0.00065101
