,Split1,Split2,Split3,Split4,Split5
0,0.006233285,0.00028661,0.001605215,0.000454982,0.001008338
1,0.004665997,0.000297637,0.001548679,0.000557836,0.000722223
2,0.003180835,0.000287355,0.001478843,0.000711446,0.000656626
3,0.001849309,0.000302174,0.001457656,0.000824966,0.000645076
4,0.000812786,0.000304466,0.00145153,0.0009261,0.000643871
5,0.000264977,0.000306625,0.001447742,0.001003856,0.000640284
6,0.00047089,0.000309483,0.001436781,0.001061128,0.00063348
7,0.001756582,0.000312023,0.001429849,0.00109359,0.000627971
8,0.00448177,0.000310247,0.001420889,0.001105355,0.000621747
9,0.009062553,0.000314113,0.001411785,0.001105474,0.000617033
10,0.015674418,0.000311408,0.001399678,0.001085953,0.000608191
11,0.024282683,0.00031092,0.001392648,0.001055489,0.000605268
12,0.034170213,0.000309536,0.001381696,0.001013916,0.000596172
13,0.046258157,0.000308133,0.001368455,0.000972176,0.000590682
14,0.057632625,0.000310414,0.00136217,0.000931945,0.000579997
15,0.068050099,0.000302488,0.001354443,0.000893761,0.000575768
16,0.076960067,0.000306939,0.001340018,0.00085745,0.00056728
17,0.083040701,0.000301722,0.001332936,0.000822928,0.000562579
18,0.088101405,0.0003044,0.001324144,0.000798727,0.000555095
19,0.091214834,0.000300214,0.001316074,0.000771813,0.00054892
20,0.092946126,0.000301054,0.001303427,0.000752615,0.000543706
21,0.093804977,0.000303812,0.001294177,0.000736734,0.000539446
22,0.093499173,0.000298435,0.001288111,0.00072461,0.000532054
23,0.09115485,0.000296047,0.001276998,0.000713161,0.000527567
24,0.089722282,0.000302906,0.00126813,0.000704277,0.000521339
25,0.087754347,0.000293816,0.001259543,0.000698285,0.000516595
26,0.085795176,0.000294236,0.001251652,0.000695335,0.000510678
27,0.083702054,0.000296745,0.001240438,0.000690473,0.000506569
28,0.081334533,0.000288677,0.00123373,0.00068646,0.000501342
29,0.079304368,0.000286102,0.001226689,0.000683636,0.00049705
30,0.077000976,0.000289249,0.001214362,0.000682052,0.000491248
31,0.074478569,0.000283397,0.001208934,0.000678638,0.000487461
32,0.071102199,0.00028053,0.001202779,0.000676422,0.000482535
33,0.067966043,0.000281437,0.001190413,0.000675305,0.000478679
34,0.064254048,0.000279795,0.001185748,0.00067447,0.000473784
35,0.060510801,0.000274337,0.001172249,0.000673024,0.000470515
36,0.055964758,0.00027372,0.001170999,0.000670614,0.000466559
37,0.051602313,0.000274573,0.001153778,0.000668255,0.000463105
38,0.046507804,0.000268871,0.001149325,0.000667132,0.000458376
39,0.041576665,0.000268262,0.001142853,0.000664389,0.000454851
40,0.035375181,0.000266115,0.001131321,0.000663337,0.00045065
41,0.030298844,0.000263779,0.001124085,0.000661835,0.000447806
42,0.02344017,0.000263197,0.001111908,0.00066036,0.000445019
43,0.017920281,0.000261306,0.001108378,0.000658803,0.000442203
44,0.012863414,0.000259174,0.001094383,0.000658552,0.000438447
45,0.008981612,0.000257213,0.001091965,0.000658585,0.000434875
46,0.005740685,0.000256282,0.001078775,0.000657109,0.000431338
47,0.003512699,0.000254884,0.001073568,0.000656486,0.000428308
48,0.002173422,0.000251863,0.001065202,0.000657678,0.000425831
49,0.001366275,0.000251227,0.001055094,0.000657881,0.000423517
