,Split1,Split2,Split3,Split4,Split5
0,0.18299041,0.001268928,0.000934458,0.000564899,0.000344955
1,0.002896921,0.001465245,0.00095504,0.000502478,0.000345573
2,0.002257387,0.001252668,0.001325748,0.000714515,0.00034642
3,0.002131461,0.001790571,0.00105049,0.000535496,0.000427791
4,0.00192377,0.003179623,0.001313271,0.000289879,0.000421272
5,0.001816951,0.001555874,0.001570058,0.000415639,0.000477032
6,0.001785918,0.002061451,0.001343558,0.000284033,0.00039184
7,0.001745656,0.002374487,0.001165341,0.000459835,0.000453202
8,0.00172988,0.00220921,0.000929121,0.000302301,0.000403343
9,0.001729307,0.001609773,0.000967827,0.000547202,0.000455579
10,0.001730989,0.001718723,0.001090875,0.000481547,0.000419474
11,0.001727145,0.002112089,0.001135934,0.000985118,0.00041121
12,0.001719325,0.001950833,0.001059551,0.001497617,0.000370158
13,0.00170943,0.001814438,0.000950185,0.001400661,0.000323162
14,0.001692415,0.001615161,0.000843595,0.00056224,0.000335689
15,0.001681751,0.001792487,0.000795495,0.000575809,0.000299807
16,0.001683917,0.001588219,0.000928954,0.000434972,0.000314363
17,0.001666458,0.001879495,0.00103788,0.000487166,0.000320222
18,0.001648717,0.002152566,0.001071979,0.000475613,0.000379727
19,0.001628803,0.001683886,0.000965671,0.000471934,0.000377571
20,0.001608259,0.001329319,0.000851328,0.000499337,0.000477188
21,0.001588159,0.001460855,0.000800896,0.000531349,0.00044571
22,0.001568103,0.001512957,0.000885434,0.000523306,0.000440031
23,0.001553489,0.001428533,0.000949849,0.000546335,0.000379425
24,0.001585956,0.001394174,0.001011978,0.000521771,0.000353094
25,0.001588867,0.001367162,0.000934487,0.000531316,0.000311182
26,0.001567748,0.001356262,0.000875157,0.00048453,0.000296938
27,0.00152575,0.00134128,0.000736464,0.00054655,0.000265282
28,0.001446917,0.001325967,0.000793722,0.000496068,0.000279432
29,0.00144624,0.001313043,0.000824127,0.000518654,0.000291752
30,0.00146721,0.001303118,0.00090406,0.000472254,0.000344098
31,0.001458213,0.001293802,0.000883409,0.00050987,0.000353672
32,0.001414723,0.001281068,0.00092161,0.00048028,0.000447639
33,0.001414872,0.001274357,0.00085588,0.000501692,0.000424992
34,0.001446888,0.001260621,0.000838505,0.000458244,0.000434956
35,0.001422233,0.001253072,0.000756472,0.000492992,0.000343043
36,0.001482982,0.001240382,0.000796754,0.000445827,0.000301417
37,0.001461556,0.001216271,0.000761307,0.000607591,0.000267977
38,0.001421208,0.001474095,0.000806792,0.000588866,0.000283685
39,0.001363113,0.001455411,0.000787426,0.000601024,0.000266026
40,0.001364325,0.001263382,0.000809951,0.000460008,0.000321307
41,0.001343323,0.001158042,0.000778261,0.000452912,0.000294082
42,0.001360546,0.001158001,0.000803956,0.000386844,0.000395893
43,0.001368117,0.001171134,0.000763461,0.000409414,0.000357094
44,0.00140335,0.001165123,0.000811542,0.000408732,0.000418181
45,0.001365772,0.001162691,0.000758222,0.000440047,0.000379446
46,0.001336551,0.001156048,0.000792687,0.000454725,0.000349345
47,0.001306923,0.001150424,0.000788435,0.000465238,0.000287728
48,0.001309397,0.001150418,0.0007846,0.000509953,0.000269714
49,0.001300242,0.001137251,0.000724305,0.000510903,0.000237865
