,Split1,Split2,Split3,Split4,Split5,
0,0.002290739,0.000847438,7.73E-05,3.22E-05,9.42E-05,
1,0.001788652,0.000686635,9.38E-05,1.40E-05,0.000111109,
2,0.001696703,0.000695116,0.000103435,8.82E-05,0.000111546,
3,0.001658757,0.000689797,7.14E-05,6.76E-05,0.000135183,
4,0.001602496,0.000730093,8.32E-05,1.70E-05,0.000120479,
5,0.001472858,0.000675511,9.55E-05,6.18E-05,0.000126265,
6,0.001393618,0.000677663,6.35E-05,1.69E-05,0.000135958,
7,0.001387856,0.000796631,7.43E-05,4.12E-05,7.15E-05,
8,0.001401317,0.000830583,5.00E-05,2.08E-05,0.000149296,
9,0.00142759,0.000797106,5.83E-05,1.70E-05,0.000126769,
10,0.001454348,0.000775499,4.96E-05,2.45E-05,0.000166608,
11,0.001481597,0.000803931,4.65E-05,3.98E-05,0.000138111,
12,0.00150057,0.000783,6.16E-05,4.15E-05,0.000134025,
13,0.001506198,0.000752859,4.21E-05,2.58E-05,0.000137263,
14,0.001500666,0.000737012,4.71E-05,1.85E-05,0.000132986,
15,0.001497491,0.000725999,4.01E-05,2.14E-05,0.000107209,
16,0.001502014,0.000707315,4.60E-05,1.61E-05,0.000115551,
17,0.001535123,0.000705958,3.55E-05,1.97E-05,0.000124008,
18,0.0015399,0.00072004,4.95E-05,1.91E-05,0.000112644,
19,0.001518997,0.000681738,3.51E-05,2.16E-05,0.000150235,
20,0.00150426,0.000682055,4.49E-05,1.92E-05,0.000160603,
21,0.001512142,0.00067655,3.28E-05,2.03E-05,0.000161246,
22,0.001455481,0.000674833,4.00E-05,1.80E-05,0.000121973,
23,0.001560804,0.000663991,3.01E-05,1.84E-05,0.000136213,
24,0.001639461,0.000658292,4.35E-05,1.54E-05,0.000137166,
25,0.001632484,0.00065167,3.26E-05,2.39E-05,0.000124275,
26,0.001583983,0.000645726,3.82E-05,1.37E-05,0.00011597,
27,0.001553009,0.000639066,2.99E-05,2.32E-05,0.000103829,
28,0.001493673,0.000634612,3.61E-05,1.43E-05,0.000111238,
29,0.001628399,0.000626379,2.95E-05,2.34E-05,0.000119594,
30,0.00164209,0.000621579,4.61E-05,1.38E-05,0.000106686,
31,0.001473436,0.000614526,2.86E-05,1.81E-05,0.000150464,
32,0.001372451,0.000609846,4.99E-05,1.50E-05,0.000134718,
33,0.00166915,0.000604542,2.64E-05,2.02E-05,0.000145386,
34,0.001682327,0.000596482,4.15E-05,1.33E-05,0.000146092,
35,0.001708418,0.000596518,2.45E-05,1.68E-05,0.000119544,
36,0.001869676,0.000584675,3.38E-05,1.70E-05,0.000119443,
37,0.001741645,0.000566996,2.38E-05,3.29E-05,0.000102482,
38,0.001428482,0.000608338,3.36E-05,1.40E-05,0.000115585,
39,0.001453685,0.000573006,2.29E-05,1.95E-05,0.000116133,
40,0.001468856,0.000564756,3.32E-05,1.52E-05,9.70E-05,
41,0.001362969,0.000558126,2.23E-05,3.44E-05,0.000138553,
42,0.001562128,0.000553966,4.02E-05,1.91E-05,0.000109721,
43,0.001827447,0.000552557,2.05E-05,2.64E-05,0.000151472,
44,0.001579896,0.000547382,3.39E-05,1.72E-05,0.00016033,
45,0.001587545,0.000544594,2.43E-05,1.73E-05,0.000154975,
46,0.001564979,0.000539361,4.00E-05,1.20E-05,0.000133354,
47,0.001600503,0.000536537,2.04E-05,2.02E-05,0.000116486,
48,0.001625337,0.000533076,4.10E-05,1.39E-05,0.000105599,
49,0.001570012,0.000527812,1.90E-05,2.04E-05,0.000102771,
