,Split1,Split2,Split3,Split4,Split5
0,0.000776878,6.02E-05,0.000335277,0.001024352,4.97E-05
1,0.028817684,0.00027553,0.000350394,0.001321732,4.67E-05
2,0.007836335,0.000754915,0.000502504,0.001567616,5.19E-05
3,0.027694114,0.000968865,0.000579647,0.002014121,6.01E-05
4,0.000795211,0.000866362,0.000683984,0.002408826,6.56E-05
5,0.000491295,0.00057549,0.000774808,0.002617411,6.47E-05
6,0.000166531,0.000524977,0.000816861,0.002603573,6.01E-05
7,0.00026569,0.000463256,0.000985062,0.002262226,7.16E-05
8,0.000280108,0.000448375,0.000331297,0.002022458,8.32E-05
9,0.000515686,0.000452237,0.000794379,0.001622757,6.37E-05
10,0.000139788,0.000479023,0.000914424,0.001645788,5.39E-05
11,0.00017583,0.000480493,0.000848801,0.001225571,4.72E-05
12,0.000311293,0.000466464,0.000762225,0.001061361,4.74E-05
13,0.000324418,0.000464762,0.000691271,0.000834942,5.02E-05
14,0.000357115,0.000446959,0.000642154,0.000604096,5.39E-05
15,0.000340465,0.0004546,0.000608483,0.000474202,5.49E-05
16,0.000376035,0.00045195,0.000582666,0.000361034,5.62E-05
17,0.000403578,0.000421707,0.000571384,0.000306076,5.70E-05
18,0.000415497,0.000461544,0.000565578,0.000284133,5.73E-05
19,0.000422401,0.000410958,0.000566826,0.000278111,5.62E-05
20,0.000435968,0.000437956,0.000568104,0.000286544,5.70E-05
21,0.000468491,0.000423561,0.000585712,0.000318662,5.76E-05
22,0.000470367,0.000461219,0.000566145,0.000375655,5.84E-05
23,0.000455582,0.000386748,0.000632582,0.000471017,6.09E-05
24,0.000472889,0.000461945,0.000544843,0.000558094,6.34E-05
25,0.000505573,0.000196762,0.000706304,0.000629135,7.14E-05
26,0.000455772,0.000430819,0.000692622,0.000676186,7.93E-05
27,0.000459335,0.000615973,0.000954374,0.000721825,8.12E-05
28,0.000495257,0.000472105,0.000711738,0.000732107,7.50E-05
29,0.000465827,0.000371355,0.000874893,0.000759908,6.60E-05
30,0.000486633,0.000390339,0.000848915,0.000733196,5.59E-05
31,0.000506415,0.000361023,0.000738819,0.000756001,5.15E-05
32,0.000484839,0.000373027,0.000606669,0.000684099,4.62E-05
33,0.000465557,0.000387413,0.000532019,0.000700834,4.99E-05
34,0.000502143,0.000398018,0.000469045,0.000602287,4.58E-05
35,0.000461396,0.000406741,0.000372453,0.000651177,4.98E-05
36,0.000508896,0.000377534,0.000348533,0.000637866,4.70E-05
37,0.000462378,0.000364182,0.000333583,0.000417447,5.24E-05
38,0.000479267,0.000372802,0.000310398,0.000533832,5.41E-05
39,0.000457807,0.00038423,0.000303465,0.000593738,7.87E-05
40,0.000478265,0.000366235,0.00030208,0.000360941,0.00014572
41,0.000461482,0.000378269,0.000296586,0.000301156,0.000212612
42,0.000466462,0.000359088,0.000292427,0.000302816,0.000137633
43,0.000433514,0.00034282,0.000283945,0.000195506,0.000193778
44,0.000480721,0.000362958,0.000272153,0.000215218,7.95E-05
45,0.000470735,0.000377917,0.000256869,0.000174282,0.000120687
46,0.000448045,0.000360071,0.000241213,0.000207069,0.000101295
47,0.000446985,0.0003664,0.000221418,0.000180974,4.73E-05
48,0.000465598,0.000342785,0.000194021,0.000208689,4.12E-05
49,0.000447368,0.000347393,0.000159452,0.000204485,4.12E-05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
